nom,longitude,latitude,fonctionnel,secteur,type,materiel,nombe_place,toiture,image,date_creation,zone,trame_verte,aire_repos,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
Reposoir 548,1.216763,6.168092,True,Campus Sud,Table banc,Béton,4.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302680.1672697951 682115.8493207907)
Reposoir 549,1.216858,6.168132,True,Campus Sud,Table banc,Béton,4.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302690.6974065931 682120.2379673724)
Reposoir 550,1.216903,6.168158,True,Campus Sud,Table banc,Béton,4.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302695.68822106905 682123.1705203368)
Reposoir 551,1.216918,6.168172,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302697.3534699151 682124.6395737346)
Reposoir 552,1.216837,6.168162,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302688.3102700603 682123.5638555386)
Reposoir 553,1.21675,6.168107,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302678.6969821501 682117.5131908044)
Reposoir 554,1.21671,6.168143,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302674.2830366022 682121.583171712)
Reposoir 555,1.216665,6.168225,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302669.3323022638 682130.6318040485)
Reposoir 556,1.216723,6.16823,True,Campus Sud,Table banc,Béton,4.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302675.790938103 682131.1631813876)
Reposoir 557,1.216763,6.168267,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302680.2320138938 682135.2035398203)
Reposoir 558,1.216872,6.168285,True,Campus Sud,Table banc,Béton,4.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302692.229968484 682137.1910121172)
Reposoir 559,1.216908,6.168337,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302696.3076325457 682142.8915384549)
Reposoir 560,1.216853,6.168352,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302690.22535703634 682144.570835726)
Reposoir 561,1.216772,6.16833,True,Campus Sud,Table banc,Béton,4.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:39,AZONDJAGNI Yao Divin ,2024-11-01 23:42:39,POINT (302681.1778433175 682142.2048381876)
