nom,longitude,latitude,fonctionnel,secteur,source,image,date_creation,zone,trame_verte,batiment,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
robinet 196,1.209822,6.176168,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (301914.8098099603 683011.6713489658)
robinet 197,1.210075,6.176198,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:37,AZOTI Croix ,2024-11-03 20:17:37,POINT (301942.86154687736 683014.8949457736)
robinet 198,1.210773,6.176115,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:37,AZOTI Croix ,2024-11-03 20:17:37,POINT (302020.12662621913 683005.4187908911)
robinet 199,1.210787,6.176388,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:37,AZOTI Croix ,2024-11-03 20:17:37,POINT (302021.704041698 683035.6433828553)
robinet 200,1.210778,6.176603,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:37,AZOTI Croix ,2024-11-03 20:17:37,POINT (302020.861572295 683059.4246062879)
robinet 201,1.210772,6.176788,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:37,AZOTI Croix ,2024-11-03 20:17:37,POINT (302020.1924317557 683079.8873323365)
robinet 202,1.210988,6.176403,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:37,AZOTI Croix ,2024-11-03 20:17:37,POINT (302044.03137506434 683037.2273048086)
robinet 203,1.21101,6.176128,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:37,AZOTI Croix ,2024-11-03 20:17:37,POINT (302046.3273774757 683006.8053709114)
robinet 204,1.209845,6.175142,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:37,AZOTI Croix ,2024-11-03 20:17:37,POINT (301917.01072678703 682898.1174635878)
robinet 205,1.212005,6.172964,True,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:17:37,AMEKUDZI ,2024-11-03 20:17:37,POINT (302155.24591809104 682656.4365828508)
robinet 206,1.21384,6.171765,True,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:17:37,AMEKUDZI ,2024-11-03 20:17:37,POINT (302357.9514840649 682523.1923191728)
robinet 207,1.21148,6.171703,True,Campus Sud,Tde,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:17:37,AMIDOU faouziatou,2024-11-03 20:17:37,POINT (302096.7065231162 682517.243849548)
robinet 208,1.210343,6.171563,True,Campus Sud,Tde,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:17:37,AMIDOU faouziatou,2024-11-03 20:17:37,POINT (301970.8398582026 682502.182919195)
robinet 209,1.217008,6.168982,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:17:37,ADIKA Afi Cathérine ,2024-11-03 20:17:37,POINT (302707.6150184901 682214.1886274848)
robinet 210,1.216915,6.16876,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:17:37,ADIKA Afi Cathérine ,2024-11-03 20:17:37,POINT (302697.2021657538 682189.7078443519)
robinet 211,1.217512,6.169033,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:17:37,ADIKA Afi Cathérine ,2024-11-03 20:17:37,POINT (302763.34687072714 682219.7163845985)
robinet 212,1.21751,6.169007,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:17:37,ADIKA Afi Cathérine ,2024-11-03 20:17:37,POINT (302763.15252851986 682216.7677883126)
robinet 213,1.217638,6.168715,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:17:37,ADIKA Afi Cathérine ,2024-11-03 20:17:37,POINT (302777.24956441426 682184.4632677017)
robinet 214,1.216438,6.168972,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:17:37,ADIKA Afi Cathérine ,2024-11-03 20:17:37,POINT (302644.51938556205 682213.2937603021)
robinet 215,1.215273,6.168162,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:17:37,ADIKA Afi Cathérine ,2024-11-03 20:17:37,POINT (302515.2683268547 682124.1429471609)
robinet 216,1.21518,6.168397,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:17:37,ADIKA Afi Cathérine ,2024-11-03 20:17:37,POINT (302505.02448079933 682150.167509231)
robinet 217,1.214357,6.169407,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:17:37,ADIKA Afi Cathérine ,2024-11-03 20:17:37,POINT (302414.26570933004 682262.1743601961)
